time: 2023-05-03 17:02:08, user: 100k_user, service_id: 2, numbers_count: 59392, cost: 296.96, old_balance: 50, new_balance: 50, result: fail
time: 2023-05-03 17:02:53, user: 100k_user, service_id: 2, numbers_count: 5, cost: 0.025, old_balance: 50, new_balance: 49.975, result: success
time: 2023-05-03 17:03:31, user: 100k_user, service_id: 3, numbers_count: 29, cost: 0.145, old_balance: 49.975, new_balance: 49.83, result: success
time: 2023-05-03 17:04:02, user: Test_user, service_id: 3, numbers_count: 29, cost: 0.145, old_balance: 5000, new_balance: 4999.855, result: success
time: 2023-05-03 19:50:02, user: test1, service_id: 2, numbers_count: 99, cost: 0.495, old_balance: 100, new_balance: 99.505, result: success
time: 2023-05-03 19:50:12, user: test1, service_id: 3, numbers_count: 99, cost: 0.495, old_balance: 99.505, new_balance: 99.01, result: success
time: 2023-05-03 19:50:38, user: test1, service_id: 3, numbers_count: 59392, cost: 296.96, old_balance: 99.01, new_balance: 99.01, result: fail
time: 2023-05-03 19:51:21, user: Test_user, service_id: 3, numbers_count: 59392, cost: 296.96, old_balance: 50000, new_balance: 49703.04, result: success
time: 2023-05-03 19:51:30, user: Test_user, service_id: 4, numbers_count: 29, cost: 0.029, old_balance: 49703.04, new_balance: 49703.011, result: success
time: 2023-05-03 19:51:34, user: Test_user, service_id: 1, numbers_count: 29, cost: 0.029, old_balance: 49703.011, new_balance: 49702.982, result: success
time: 2023-05-03 19:51:39, user: Test_user, service_id: 1, numbers_count: 59392, cost: 59.392, old_balance: 49702.982, new_balance: 49643.59, result: success
time: 2023-05-03 19:58:44, user: Test_user, service_id: 1, numbers_count: 23771, cost: 23.771, old_balance: 49643.59, new_balance: 49619.819, result: success
time: 2023-05-03 19:59:11, user: Test_user, service_id: 1, numbers_count: 104691, cost: 104.691, old_balance: 49619.819, new_balance: 49515.128, result: success
time: 2023-05-03 19:59:42, user: Test_user, service_id: 2, numbers_count: 23771, cost: 118.855, old_balance: 49515.128, new_balance: 49396.273, result: success
time: 2023-05-03 20:00:16, user: Test_user, service_id: 2, numbers_count: 104691, cost: 523.455, old_balance: 49396.273, new_balance: 48872.818, result: success
time: 2023-05-03 20:00:53, user: Test_user, service_id: 2, numbers_count: 1, cost: 0.005, old_balance: 48872.818, new_balance: 48872.813, result: success
time: 2023-05-03 20:00:55, user: Test_user, service_id: 2, numbers_count: 1, cost: 0.005, old_balance: 48872.813, new_balance: 48872.808, result: success
time: 2023-05-03 20:00:55, user: Test_user, service_id: 2, numbers_count: 1, cost: 0.005, old_balance: 48872.808, new_balance: 48872.803, result: success
